ERROR | source/graphic/resources/src/shader.c:30 0:6(2): error: value of type vec4 cannot be assigned to variable of type ivec4

ERROR | source/graphic/resources/src/shader.c:31 Failed to compile vertex shader
ERROR | source/graphic/resources/src/shader.c:231 Failed to create new shader
ERROR | source/graphic/resources/src/shader.c:380 Failed to create new shader
ERROR | source/document/src/document.c:249 Failed to create new document
ERROR | source/window/src/window.c:67 Failed to create document for window
ERROR | source/window/src/window.c:90 Failed to create window
ERROR | source/window/src/window.c:429 Failed to create add new window
WARNING | source/window/src/window.c:437 Input parameters invalid
WARNING | source/window/src/window.c:447 Failed to close window
